Flight No,Departure Time,Destination,Category,Tier1%,Tier2%,Tier3%
BA4137,12:46:00,DFW,LONG,5,15,30
BA8214,13:41:00,MUC,SHORT,1,5,20
BA4253,21:15:00,BCN,SHORT,1,5,20
BA7849,18:32:00,CDG,SHORT,1,5,20
BA8112,22:02:00,MUC,SHORT,1,5,20
BA5474,17:11:00,VIE,SHORT,1,5,20
BA4811,10:49:00,IST,SHORT,1,5,20
BA9713,21:38:00,DFW,LONG,5,15,30
BA3755,19:07:00,JFK,LONG,5,15,30
BA1540,22:55:00,MAD,SHORT,1,5,20
BA7598,17:12:00,FRA,SHORT,1,5,20
BA3822,09:43:00,DFW,LONG,5,15,30
BA7717,12:29:00,FRA,SHORT,1,5,20
BA9701,22:21:00,JFK,LONG,5,15,30
BA1453,12:42:00,AMS,SHORT,1,5,20
BA8910,14:07:00,MUC,SHORT,1,5,20
BA9014,07:39:00,BCN,SHORT,1,5,20
BA8452,14:45:00,JFK,LONG,5,15,30
BA6576,09:10:00,VIE,SHORT,1,5,20
BA8234,15:39:00,DFW,LONG,5,15,30
BA7414,10:57:00,AMS,SHORT,1,5,20
BA3001,17:23:00,VIE,SHORT,1,5,20
BA1378,15:03:00,MUC,SHORT,1,5,20
BA7232,06:10:00,ORD,LONG,5,15,30
BA1880,10:12:00,MUC,SHORT,1,5,20
BA1226,20:00:00,MAD,SHORT,1,5,20
BA2944,07:16:00,VIE,SHORT,1,5,20
BA5577,16:59:00,HND,LONG,5,15,30
BA5768,20:17:00,FRA,SHORT,1,5,20
BA2560,18:56:00,VIE,SHORT,1,5,20
BA2049,08:36:00,ZRH,SHORT,1,5,20
BA8934,14:17:00,ORD,LONG,5,15,30
BA8877,12:21:00,LAX,LONG,5,15,30
BA8298,06:00:00,LAX,LONG,5,15,30
BA4373,16:05:00,VIE,SHORT,1,5,20
BA3781,08:59:00,HND,LONG,5,15,30
BA3432,06:34:00,ORD,LONG,5,15,30
BA1334,08:04:00,ZRH,SHORT,1,5,20
BA7418,16:38:00,LAX,LONG,5,15,30
BA2964,16:46:00,FRA,SHORT,1,5,20
BA1549,06:26:00,BCN,SHORT,1,5,20
BA3432,11:44:00,MAD,SHORT,1,5,20
BA6771,11:11:00,CDG,SHORT,1,5,20
BA8347,08:35:00,DFW,LONG,5,15,30
BA1632,14:36:00,MUC,SHORT,1,5,20
BA9403,12:09:00,DXB,LONG,5,15,30
BA6095,16:02:00,IST,SHORT,1,5,20
BA4216,07:24:00,VIE,SHORT,1,5,20
BA5545,19:40:00,IST,SHORT,1,5,20
BA5252,10:31:00,DFW,LONG,5,15,30
BA4011,08:12:00,MUC,SHORT,1,5,20
BA3742,14:43:00,BCN,SHORT,1,5,20
BA6936,15:18:00,LAX,LONG,5,15,30
BA7553,12:28:00,VIE,SHORT,1,5,20
BA4538,14:51:00,JFK,LONG,5,15,30
BA2503,06:39:00,ZRH,SHORT,1,5,20
BA3853,09:09:00,LAX,LONG,5,15,30
BA3275,07:57:00,DXB,LONG,5,15,30
BA9446,16:44:00,BCN,SHORT,1,5,20
BA6990,08:08:00,FRA,SHORT,1,5,20
BA7928,13:08:00,JFK,LONG,5,15,30
BA3670,17:50:00,ORD,LONG,5,15,30
BA6551,12:06:00,DXB,LONG,5,15,30
BA8450,17:39:00,ORD,LONG,5,15,30
BA9081,14:48:00,ORD,LONG,5,15,30
BA8464,11:36:00,ZRH,SHORT,1,5,20
BA6972,21:56:00,MAD,SHORT,1,5,20
BA7878,13:54:00,IST,SHORT,1,5,20
BA1170,18:56:00,JFK,LONG,5,15,30
BA2352,17:51:00,JFK,LONG,5,15,30
BA5313,20:29:00,ORD,LONG,5,15,30
BA4855,09:04:00,IST,SHORT,1,5,20
BA9843,09:33:00,AMS,SHORT,1,5,20
BA7628,10:36:00,LAX,LONG,5,15,30
BA2263,11:42:00,FRA,SHORT,1,5,20
BA7109,08:58:00,HND,LONG,5,15,30
BA6140,08:37:00,DXB,LONG,5,15,30
BA3638,17:51:00,IST,SHORT,1,5,20
BA7044,16:38:00,JFK,LONG,5,15,30
BA9337,22:01:00,ORD,LONG,5,15,30
BA1945,12:54:00,JFK,LONG,5,15,30
BA7551,09:41:00,ZRH,SHORT,1,5,20
BA8778,10:59:00,HND,LONG,5,15,30
BA2904,15:42:00,AMS,SHORT,1,5,20
BA3842,07:24:00,CDG,SHORT,1,5,20
BA2750,17:24:00,ZRH,SHORT,1,5,20
BA9681,18:31:00,MAD,SHORT,1,5,20
BA9754,08:11:00,ORD,LONG,5,15,30
BA3856,12:28:00,HND,LONG,5,15,30
BA4928,07:02:00,DXB,LONG,5,15,30
BA7884,16:59:00,FRA,SHORT,1,5,20
BA4178,19:21:00,HND,LONG,5,15,30
BA9999,10:54:00,CDG,SHORT,1,5,20
BA9006,16:12:00,BCN,SHORT,1,5,20
BA9947,22:33:00,IST,SHORT,1,5,20
BA2648,22:54:00,HND,LONG,5,15,30
BA8554,16:54:00,ORD,LONG,5,15,30
BA8359,20:52:00,DXB,LONG,5,15,30
BA8212,12:17:00,VIE,SHORT,1,5,20
BA3063,07:03:00,CDG,SHORT,1,5,20
BA2481,18:26:00,MAD,SHORT,1,5,20
BA9575,16:49:00,CDG,SHORT,1,5,20
BA5718,17:15:00,LAX,LONG,5,15,30
BA2900,15:35:00,DXB,LONG,5,15,30
BA2975,09:16:00,ZRH,SHORT,1,5,20
BA9682,06:21:00,MAD,SHORT,1,5,20
BA3656,17:35:00,DXB,LONG,5,15,30
BA9540,14:46:00,CDG,SHORT,1,5,20
BA3569,22:02:00,ORD,LONG,5,15,30
BA8134,15:07:00,MAD,SHORT,1,5,20
BA5220,15:30:00,DFW,LONG,5,15,30
BA5622,06:39:00,AMS,SHORT,1,5,20
BA4521,08:53:00,LAX,LONG,5,15,30
BA6066,11:08:00,DFW,LONG,5,15,30
BA3729,13:23:00,DXB,LONG,5,15,30
BA3775,16:35:00,HND,LONG,5,15,30
BA2407,10:41:00,FRA,SHORT,1,5,20
BA5085,14:06:00,ORD,LONG,5,15,30
BA9161,11:23:00,FRA,SHORT,1,5,20
BA4538,09:21:00,ZRH,SHORT,1,5,20
BA1274,20:16:00,HND,LONG,5,15,30
BA7164,13:12:00,ZRH,SHORT,1,5,20
BA7106,19:04:00,MAD,SHORT,1,5,20
BA1580,15:41:00,DFW,LONG,5,15,30
BA8999,13:29:00,HND,LONG,5,15,30
BA6828,12:24:00,JFK,LONG,5,15,30
BA5762,20:47:00,HND,LONG,5,15,30
BA8822,15:27:00,MUC,SHORT,1,5,20
BA2014,11:46:00,AMS,SHORT,1,5,20
BA5169,09:16:00,ORD,LONG,5,15,30
BA7564,12:49:00,HND,LONG,5,15,30
BA5379,09:48:00,LAX,LONG,5,15,30
BA5836,08:24:00,DFW,LONG,5,15,30
BA2203,19:09:00,JFK,LONG,5,15,30
BA9629,15:16:00,ORD,LONG,5,15,30
BA4341,14:26:00,AMS,SHORT,1,5,20
BA1011,13:01:00,FRA,SHORT,1,5,20
BA2520,10:04:00,BCN,SHORT,1,5,20
BA3168,07:52:00,FRA,SHORT,1,5,20
BA5173,22:13:00,ZRH,SHORT,1,5,20
BA5463,07:45:00,AMS,SHORT,1,5,20
BA1758,21:21:00,FRA,SHORT,1,5,20
BA2480,07:24:00,MAD,SHORT,1,5,20
BA3234,15:42:00,AMS,SHORT,1,5,20
BA6806,07:06:00,DXB,LONG,5,15,30
BA9099,06:12:00,AMS,SHORT,1,5,20
BA8690,09:34:00,ZRH,SHORT,1,5,20
BA8598,08:17:00,BCN,SHORT,1,5,20
BA9455,16:52:00,LAX,LONG,5,15,30
BA6735,17:57:00,ORD,LONG,5,15,30
BA2744,17:53:00,AMS,SHORT,1,5,20
BA9337,14:59:00,MUC,SHORT,1,5,20
BA3423,17:15:00,DFW,LONG,5,15,30
BA6335,20:56:00,CDG,SHORT,1,5,20
BA4853,15:19:00,LAX,LONG,5,15,30
BA2072,11:30:00,MUC,SHORT,1,5,20
BA2006,20:21:00,LAX,LONG,5,15,30
BA2105,19:26:00,CDG,SHORT,1,5,20
BA4988,11:57:00,IST,SHORT,1,5,20
BA4291,11:33:00,LAX,LONG,5,15,30
BA8867,07:55:00,FRA,SHORT,1,5,20
BA1433,13:40:00,LAX,LONG,5,15,30
BA8051,07:03:00,ORD,LONG,5,15,30
BA4530,08:20:00,JFK,LONG,5,15,30
BA1479,11:31:00,MAD,SHORT,1,5,20
BA3427,06:22:00,CDG,SHORT,1,5,20
BA5763,18:12:00,CDG,SHORT,1,5,20
BA6651,09:03:00,MAD,SHORT,1,5,20
BA3644,10:55:00,MUC,SHORT,1,5,20
BA9815,19:09:00,ZRH,SHORT,1,5,20
BA7469,12:16:00,IST,SHORT,1,5,20
BA9868,18:17:00,JFK,LONG,5,15,30
BA2058,07:28:00,LAX,LONG,5,15,30
BA6413,19:27:00,CDG,SHORT,1,5,20
BA8080,06:44:00,DXB,LONG,5,15,30
BA2128,18:28:00,VIE,SHORT,1,5,20
BA6786,15:08:00,ORD,LONG,5,15,30
BA9880,18:17:00,VIE,SHORT,1,5,20
BA1512,10:07:00,IST,SHORT,1,5,20
BA3077,10:22:00,IST,SHORT,1,5,20
BA4351,14:03:00,DFW,LONG,5,15,30
BA1904,07:58:00,DXB,LONG,5,15,30
BA6704,15:36:00,CDG,SHORT,1,5,20
BA7894,15:22:00,MAD,SHORT,1,5,20
BA9583,12:49:00,DXB,LONG,5,15,30
BA8102,10:08:00,DFW,LONG,5,15,30
BA2517,18:37:00,DXB,LONG,5,15,30
BA9491,10:29:00,MUC,SHORT,1,5,20
BA1413,22:30:00,IST,SHORT,1,5,20
BA9344,10:16:00,CDG,SHORT,1,5,20
BA4556,06:57:00,ORD,LONG,5,15,30
BA4173,17:58:00,JFK,LONG,5,15,30
BA8804,06:31:00,ORD,LONG,5,15,30
BA8787,22:10:00,ORD,LONG,5,15,30
BA2827,09:36:00,DXB,LONG,5,15,30
BA6016,17:10:00,AMS,SHORT,1,5,20
BA5256,16:43:00,IST,SHORT,1,5,20
BA8092,13:44:00,IST,SHORT,1,5,20
BA5086,17:56:00,MUC,SHORT,1,5,20
BA7758,07:42:00,DXB,LONG,5,15,30
BA1027,10:12:00,ZRH,SHORT,1,5,20
BA3153,21:37:00,ZRH,SHORT,1,5,20
BA8618,19:12:00,CDG,SHORT,1,5,20
BA5692,15:43:00,DXB,LONG,5,15,30
BA3378,19:10:00,VIE,SHORT,1,5,20
BA3065,16:26:00,IST,SHORT,1,5,20
BA6417,13:08:00,BCN,SHORT,1,5,20
BA1396,06:07:00,MUC,SHORT,1,5,20
BA4921,06:51:00,MUC,SHORT,1,5,20
BA6244,10:52:00,HND,LONG,5,15,30
BA6247,10:07:00,LAX,LONG,5,15,30
BA5376,18:15:00,DFW,LONG,5,15,30
BA2175,06:10:00,ZRH,SHORT,1,5,20
BA7182,16:53:00,ZRH,SHORT,1,5,20
BA8376,15:47:00,DXB,LONG,5,15,30
BA8940,17:13:00,ZRH,SHORT,1,5,20
BA2056,21:44:00,DXB,LONG,5,15,30
BA8490,17:34:00,IST,SHORT,1,5,20
BA1569,19:35:00,CDG,SHORT,1,5,20
BA9013,17:07:00,ZRH,SHORT,1,5,20
BA5976,12:53:00,JFK,LONG,5,15,30
BA8101,21:13:00,FRA,SHORT,1,5,20
BA6411,18:06:00,JFK,LONG,5,15,30
BA5396,13:00:00,HND,LONG,5,15,30
BA2250,11:35:00,IST,SHORT,1,5,20
BA2299,18:01:00,CDG,SHORT,1,5,20
BA6293,07:32:00,ORD,LONG,5,15,30
BA5755,08:34:00,ORD,LONG,5,15,30
BA1884,10:19:00,VIE,SHORT,1,5,20
BA3994,21:39:00,DXB,LONG,5,15,30
BA6975,15:40:00,MAD,SHORT,1,5,20
BA5988,20:51:00,DXB,LONG,5,15,30
BA4521,18:56:00,MAD,SHORT,1,5,20
BA7123,13:42:00,HND,LONG,5,15,30
BA4144,06:26:00,IST,SHORT,1,5,20
BA5345,15:11:00,DFW,LONG,5,15,30
BA4922,15:33:00,AMS,SHORT,1,5,20
BA6528,06:43:00,LAX,LONG,5,15,30
BA1304,12:51:00,FRA,SHORT,1,5,20
BA3760,17:13:00,HND,LONG,5,15,30
BA3678,11:34:00,ORD,LONG,5,15,30
BA6081,21:58:00,ZRH,SHORT,1,5,20
BA4272,22:39:00,LAX,LONG,5,15,30
BA7490,16:12:00,DXB,LONG,5,15,30
BA9058,07:55:00,DFW,LONG,5,15,30
BA9681,10:03:00,IST,SHORT,1,5,20
BA4106,09:00:00,CDG,SHORT,1,5,20
BA5886,12:12:00,FRA,SHORT,1,5,20
BA9887,20:54:00,JFK,LONG,5,15,30
BA9484,21:46:00,BCN,SHORT,1,5,20
BA2234,20:33:00,MUC,SHORT,1,5,20
BA4403,09:34:00,CDG,SHORT,1,5,20
BA4274,18:32:00,DXB,LONG,5,15,30
BA6534,19:26:00,DFW,LONG,5,15,30
BA3260,18:17:00,LAX,LONG,5,15,30
BA6203,13:08:00,DXB,LONG,5,15,30
BA9895,12:30:00,BCN,SHORT,1,5,20
BA7348,16:38:00,AMS,SHORT,1,5,20
BA8566,09:41:00,ORD,LONG,5,15,30
BA4983,21:22:00,HND,LONG,5,15,30
BA1165,20:58:00,JFK,LONG,5,15,30
BA9450,13:14:00,MUC,SHORT,1,5,20
BA9775,17:13:00,IST,SHORT,1,5,20
BA2864,11:51:00,BCN,SHORT,1,5,20
BA2527,16:58:00,MUC,SHORT,1,5,20
BA2526,22:36:00,JFK,LONG,5,15,30
BA3371,13:45:00,AMS,SHORT,1,5,20
BA5964,16:16:00,JFK,LONG,5,15,30
BA1049,19:10:00,HND,LONG,5,15,30
BA2254,09:26:00,DFW,LONG,5,15,30
BA8905,12:19:00,FRA,SHORT,1,5,20
BA2839,09:20:00,VIE,SHORT,1,5,20
BA2928,11:28:00,AMS,SHORT,1,5,20
BA7624,11:04:00,IST,SHORT,1,5,20
BA1553,17:23:00,VIE,SHORT,1,5,20
BA2379,12:22:00,DXB,LONG,5,15,30
BA5962,10:11:00,ZRH,SHORT,1,5,20
BA8488,08:22:00,BCN,SHORT,1,5,20
BA8483,06:05:00,ORD,LONG,5,15,30
BA4588,10:07:00,VIE,SHORT,1,5,20
BA8269,08:36:00,MAD,SHORT,1,5,20
BA9736,16:31:00,HND,LONG,5,15,30
BA5810,07:31:00,LAX,LONG,5,15,30
BA9334,19:06:00,MAD,SHORT,1,5,20
BA3524,20:58:00,MUC,SHORT,1,5,20
BA3847,17:53:00,ZRH,SHORT,1,5,20
BA6529,16:44:00,MAD,SHORT,1,5,20
BA7446,07:00:00,DXB,LONG,5,15,30
BA6996,14:31:00,MUC,SHORT,1,5,20
BA8863,18:23:00,DXB,LONG,5,15,30
BA5208,10:43:00,AMS,SHORT,1,5,20
BA4874,09:21:00,MUC,SHORT,1,5,20
BA8164,18:16:00,DXB,LONG,5,15,30
BA3253,15:54:00,ZRH,SHORT,1,5,20
BA5825,08:58:00,MUC,SHORT,1,5,20
BA8799,17:03:00,MAD,SHORT,1,5,20
BA5040,11:20:00,VIE,SHORT,1,5,20
BA1798,12:19:00,DFW,LONG,5,15,30
BA7640,20:22:00,AMS,SHORT,1,5,20
BA7450,21:17:00,BCN,SHORT,1,5,20
BA7531,18:59:00,FRA,SHORT,1,5,20
BA8311,10:52:00,ZRH,SHORT,1,5,20
BA7513,20:44:00,DXB,LONG,5,15,30
BA6371,16:51:00,ORD,LONG,5,15,30
BA8034,13:15:00,LAX,LONG,5,15,30
BA1309,20:20:00,ORD,LONG,5,15,30
BA4697,07:00:00,HND,LONG,5,15,30
BA5360,10:17:00,DXB,LONG,5,15,30
BA9750,09:44:00,LAX,LONG,5,15,30
BA9187,18:45:00,DFW,LONG,5,15,30
BA2569,06:18:00,ZRH,SHORT,1,5,20
BA5036,18:00:00,DXB,LONG,5,15,30
BA8032,06:56:00,VIE,SHORT,1,5,20
BA3960,07:08:00,DFW,LONG,5,15,30
BA4501,11:35:00,BCN,SHORT,1,5,20
BA2524,14:40:00,ORD,LONG,5,15,30
BA2235,07:59:00,ZRH,SHORT,1,5,20
BA2387,20:53:00,VIE,SHORT,1,5,20
BA9626,18:50:00,JFK,LONG,5,15,30
BA3947,08:35:00,FRA,SHORT,1,5,20
BA2576,11:40:00,HND,LONG,5,15,30
BA7320,19:24:00,CDG,SHORT,1,5,20
BA6725,10:10:00,JFK,LONG,5,15,30
BA5713,06:29:00,DFW,LONG,5,15,30
BA6527,07:20:00,FRA,SHORT,1,5,20
BA2501,14:27:00,LAX,LONG,5,15,30
BA5587,15:57:00,LAX,LONG,5,15,30
BA7064,06:34:00,CDG,SHORT,1,5,20
BA6128,16:51:00,LAX,LONG,5,15,30
BA6754,08:47:00,MUC,SHORT,1,5,20
BA9328,11:15:00,DXB,LONG,5,15,30
BA5894,19:08:00,DFW,LONG,5,15,30
BA1711,06:07:00,LAX,LONG,5,15,30
BA1244,13:59:00,JFK,LONG,5,15,30
BA3502,19:05:00,AMS,SHORT,1,5,20
BA7531,07:22:00,BCN,SHORT,1,5,20
BA2758,18:00:00,JFK,LONG,5,15,30
BA7168,09:48:00,AMS,SHORT,1,5,20
BA7717,21:06:00,FRA,SHORT,1,5,20
BA5346,14:26:00,ZRH,SHORT,1,5,20
BA6584,11:05:00,ORD,LONG,5,15,30
BA3645,10:28:00,LAX,LONG,5,15,30
BA8597,09:05:00,FRA,SHORT,1,5,20
BA8195,15:34:00,CDG,SHORT,1,5,20
BA6272,13:08:00,DXB,LONG,5,15,30
BA2401,19:41:00,JFK,LONG,5,15,30
BA1158,22:44:00,DFW,LONG,5,15,30
BA9644,13:23:00,DXB,LONG,5,15,30
BA4595,15:00:00,AMS,SHORT,1,5,20
BA8832,18:27:00,IST,SHORT,1,5,20
BA3254,14:13:00,MUC,SHORT,1,5,20
BA5972,12:15:00,VIE,SHORT,1,5,20
BA9177,10:00:00,VIE,SHORT,1,5,20
BA5310,08:09:00,CDG,SHORT,1,5,20
BA9432,19:12:00,IST,SHORT,1,5,20
BA6008,14:08:00,MUC,SHORT,1,5,20
BA8396,09:08:00,BCN,SHORT,1,5,20
BA2149,13:43:00,MAD,SHORT,1,5,20
BA6996,18:37:00,CDG,SHORT,1,5,20
BA7031,15:11:00,IST,SHORT,1,5,20
BA2653,16:16:00,VIE,SHORT,1,5,20
BA7268,19:56:00,DXB,LONG,5,15,30
BA1761,14:38:00,FRA,SHORT,1,5,20
BA7969,14:00:00,IST,SHORT,1,5,20
BA1039,13:40:00,FRA,SHORT,1,5,20
BA9275,11:48:00,BCN,SHORT,1,5,20
BA9645,21:06:00,VIE,SHORT,1,5,20
BA5073,20:21:00,VIE,SHORT,1,5,20
BA2725,09:05:00,HND,LONG,5,15,30
BA6723,06:19:00,CDG,SHORT,1,5,20
BA9706,20:52:00,DXB,LONG,5,15,30
BA9356,11:40:00,FRA,SHORT,1,5,20
BA9816,10:19:00,AMS,SHORT,1,5,20
BA2800,11:36:00,HND,LONG,5,15,30
BA1597,14:47:00,BCN,SHORT,1,5,20
BA7761,14:48:00,ORD,LONG,5,15,30
BA7413,21:28:00,HND,LONG,5,15,30
BA8264,11:13:00,HND,LONG,5,15,30
BA4115,15:27:00,ZRH,SHORT,1,5,20
BA6155,21:07:00,AMS,SHORT,1,5,20
BA9784,09:48:00,BCN,SHORT,1,5,20
BA8913,17:42:00,IST,SHORT,1,5,20
BA9691,08:32:00,MUC,SHORT,1,5,20
BA8672,22:14:00,LAX,LONG,5,15,30
BA1762,07:51:00,BCN,SHORT,1,5,20
BA9664,16:58:00,VIE,SHORT,1,5,20
BA7533,12:45:00,IST,SHORT,1,5,20
BA9322,12:21:00,DXB,LONG,5,15,30
BA7714,19:37:00,ZRH,SHORT,1,5,20
BA4115,10:17:00,AMS,SHORT,1,5,20
BA6074,15:25:00,MAD,SHORT,1,5,20
BA9843,17:14:00,ZRH,SHORT,1,5,20
BA8407,10:28:00,MUC,SHORT,1,5,20
BA7919,18:57:00,BCN,SHORT,1,5,20
BA8062,11:05:00,DFW,LONG,5,15,30
BA9206,13:35:00,MUC,SHORT,1,5,20
BA2751,09:17:00,LAX,LONG,5,15,30
BA2201,16:39:00,LAX,LONG,5,15,30
BA2563,09:58:00,JFK,LONG,5,15,30
BA6262,20:43:00,CDG,SHORT,1,5,20
BA4481,10:25:00,IST,SHORT,1,5,20
BA2961,14:09:00,CDG,SHORT,1,5,20
BA9893,12:26:00,DFW,LONG,5,15,30
BA7994,09:29:00,VIE,SHORT,1,5,20
BA6084,14:18:00,BCN,SHORT,1,5,20
BA4049,19:38:00,DFW,LONG,5,15,30
BA1556,18:05:00,ZRH,SHORT,1,5,20
BA5090,11:06:00,CDG,SHORT,1,5,20
BA2083,13:44:00,AMS,SHORT,1,5,20
BA2192,13:55:00,ORD,LONG,5,15,30
BA8727,13:07:00,VIE,SHORT,1,5,20
BA5798,11:11:00,AMS,SHORT,1,5,20
BA5446,06:15:00,MUC,SHORT,1,5,20
BA1447,20:06:00,FRA,SHORT,1,5,20
BA5345,16:17:00,CDG,SHORT,1,5,20
BA2558,15:57:00,ORD,LONG,5,15,30
BA5362,11:45:00,FRA,SHORT,1,5,20
BA3600,20:53:00,MAD,SHORT,1,5,20
BA4683,20:41:00,DFW,LONG,5,15,30
BA5285,17:31:00,IST,SHORT,1,5,20
BA9255,20:01:00,DFW,LONG,5,15,30
BA6357,16:55:00,LAX,LONG,5,15,30
BA8575,13:01:00,DFW,LONG,5,15,30
BA3133,10:01:00,ZRH,SHORT,1,5,20
BA5739,10:41:00,ORD,LONG,5,15,30
BA5675,09:33:00,FRA,SHORT,1,5,20
BA2839,14:21:00,JFK,LONG,5,15,30
BA9998,19:43:00,VIE,SHORT,1,5,20
BA6494,19:01:00,FRA,SHORT,1,5,20
BA6806,08:59:00,MAD,SHORT,1,5,20
BA8602,17:46:00,CDG,SHORT,1,5,20
BA4229,17:14:00,FRA,SHORT,1,5,20
BA9020,12:58:00,BCN,SHORT,1,5,20
BA2235,10:33:00,LAX,LONG,5,15,30
BA6148,18:05:00,LAX,LONG,5,15,30
BA5396,21:31:00,BCN,SHORT,1,5,20
BA5542,07:35:00,BCN,SHORT,1,5,20
BA5355,17:45:00,MAD,SHORT,1,5,20
BA3522,21:23:00,IST,SHORT,1,5,20
BA4163,06:05:00,FRA,SHORT,1,5,20
BA8814,20:57:00,FRA,SHORT,1,5,20
BA9821,06:08:00,MAD,SHORT,1,5,20
BA5862,07:56:00,LAX,LONG,5,15,30
BA1190,17:36:00,ORD,LONG,5,15,30
BA2542,11:40:00,AMS,SHORT,1,5,20
BA1061,13:06:00,ORD,LONG,5,15,30
BA8503,14:29:00,MAD,SHORT,1,5,20
BA7675,12:29:00,BCN,SHORT,1,5,20
BA6543,15:39:00,VIE,SHORT,1,5,20
BA7742,19:34:00,LAX,LONG,5,15,30
BA5240,06:01:00,ORD,LONG,5,15,30
BA4839,18:50:00,MUC,SHORT,1,5,20
BA3750,15:37:00,VIE,SHORT,1,5,20
BA8624,22:44:00,AMS,SHORT,1,5,20
BA4856,13:12:00,BCN,SHORT,1,5,20
BA5964,12:53:00,JFK,LONG,5,15,30
BA7497,16:31:00,CDG,SHORT,1,5,20
BA4667,07:37:00,IST,SHORT,1,5,20
BA8201,20:06:00,DFW,LONG,5,15,30
BA7561,11:43:00,DXB,LONG,5,15,30
BA4335,08:37:00,ORD,LONG,5,15,30
BA1992,20:32:00,DFW,LONG,5,15,30
BA8263,14:34:00,LAX,LONG,5,15,30
BA4964,15:33:00,JFK,LONG,5,15,30
BA3007,21:53:00,IST,SHORT,1,5,20
BA5856,11:01:00,IST,SHORT,1,5,20
BA6205,22:52:00,IST,SHORT,1,5,20
BA2415,07:31:00,MUC,SHORT,1,5,20
BA6707,08:53:00,ZRH,SHORT,1,5,20
BA2917,11:01:00,ZRH,SHORT,1,5,20
BA7133,11:04:00,HND,LONG,5,15,30
BA5241,16:17:00,HND,LONG,5,15,30
BA4817,18:25:00,ZRH,SHORT,1,5,20
BA3998,08:45:00,JFK,LONG,5,15,30
BA8273,18:04:00,MAD,SHORT,1,5,20
BA2068,16:03:00,IST,SHORT,1,5,20
BA1207,07:29:00,ZRH,SHORT,1,5,20
BA8319,07:15:00,ORD,LONG,5,15,30
BA7665,07:56:00,VIE,SHORT,1,5,20
BA4667,10:55:00,BCN,SHORT,1,5,20
BA6457,07:35:00,FRA,SHORT,1,5,20
BA5217,22:09:00,MAD,SHORT,1,5,20
BA4511,19:16:00,HND,LONG,5,15,30
BA7600,09:36:00,MAD,SHORT,1,5,20
BA6129,09:46:00,VIE,SHORT,1,5,20
BA1851,21:09:00,ZRH,SHORT,1,5,20
BA6127,10:02:00,LAX,LONG,5,15,30
BA1318,20:23:00,ORD,LONG,5,15,30
BA9253,18:36:00,LAX,LONG,5,15,30
BA2674,14:52:00,MUC,SHORT,1,5,20
BA2980,19:09:00,JFK,LONG,5,15,30
BA2147,09:29:00,HND,LONG,5,15,30
BA8443,22:08:00,BCN,SHORT,1,5,20
BA4921,18:16:00,HND,LONG,5,15,30
BA2040,09:57:00,HND,LONG,5,15,30
BA3458,15:54:00,DFW,LONG,5,15,30
BA3596,13:31:00,HND,LONG,5,15,30
BA9028,12:52:00,LAX,LONG,5,15,30
BA8050,18:08:00,HND,LONG,5,15,30
BA7615,06:10:00,LAX,LONG,5,15,30
BA3524,19:40:00,AMS,SHORT,1,5,20
BA6111,12:04:00,BCN,SHORT,1,5,20
BA3018,15:19:00,AMS,SHORT,1,5,20
BA5471,19:01:00,AMS,SHORT,1,5,20
BA1005,16:51:00,CDG,SHORT,1,5,20
BA9761,18:13:00,JFK,LONG,5,15,30
BA9002,21:58:00,VIE,SHORT,1,5,20
BA5062,13:06:00,DXB,LONG,5,15,30
BA3043,21:38:00,DFW,LONG,5,15,30
BA1436,08:46:00,DXB,LONG,5,15,30
BA5766,07:24:00,ORD,LONG,5,15,30
BA4178,08:05:00,ORD,LONG,5,15,30
BA6127,18:14:00,HND,LONG,5,15,30
BA8859,07:13:00,HND,LONG,5,15,30
BA5358,18:11:00,AMS,SHORT,1,5,20
BA9737,15:46:00,BCN,SHORT,1,5,20
BA1504,21:29:00,ZRH,SHORT,1,5,20
BA8574,21:44:00,HND,LONG,5,15,30
BA1868,19:22:00,DXB,LONG,5,15,30
BA1682,16:21:00,DFW,LONG,5,15,30
BA5029,06:02:00,HND,LONG,5,15,30
BA5066,10:18:00,ZRH,SHORT,1,5,20
BA9350,15:57:00,BCN,SHORT,1,5,20
BA9921,07:10:00,HND,LONG,5,15,30
BA3560,17:04:00,LAX,LONG,5,15,30
BA4413,13:39:00,DFW,LONG,5,15,30
BA1595,19:23:00,JFK,LONG,5,15,30
BA9640,21:28:00,DFW,LONG,5,15,30
BA2291,15:21:00,FRA,SHORT,1,5,20
BA9974,12:35:00,CDG,SHORT,1,5,20
BA7830,09:09:00,MUC,SHORT,1,5,20
BA9330,06:58:00,JFK,LONG,5,15,30
BA5299,19:45:00,MAD,SHORT,1,5,20
BA8782,21:42:00,DXB,LONG,5,15,30
BA5841,13:34:00,MAD,SHORT,1,5,20
BA1305,14:54:00,FRA,SHORT,1,5,20
BA1364,18:02:00,LAX,LONG,5,15,30
BA4269,21:55:00,VIE,SHORT,1,5,20
BA9270,07:03:00,DFW,LONG,5,15,30
BA3502,13:59:00,DFW,LONG,5,15,30
BA8473,07:09:00,ORD,LONG,5,15,30
BA6727,22:43:00,LAX,LONG,5,15,30
BA4625,08:49:00,ORD,LONG,5,15,30
BA9573,07:43:00,JFK,LONG,5,15,30
BA5802,22:09:00,CDG,SHORT,1,5,20
BA4504,08:11:00,ORD,LONG,5,15,30
BA4983,11:31:00,AMS,SHORT,1,5,20
